name,cls
CC1=CC(=C2C=C3C(=C(SC3=NC2=C1)C(=O)NC4=C(NC(=O)NC4=O)C)N)C,1
C1=CC=C(C=C1)N2C(=O)C(=C(C=N2)Cl)Cl,1
CC1=NC=C(C=C1)C(=O)N/N=C\C2=CC=C(S2)[N+](=O)[O-],1
CC1=NC2=C(C=NN2C(=C1)NC3=CC=C(C=C3)NC(=O)C)C4=CC=CC=C4,1
C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2,1
C1=CC=C(C(=C1)C(=O)OC2=CC=C(C=C2)/C=N/NC3=CC=C(C=C3)C(=O)O)Cl,1
CC1=C(C(=CC=C1)C)NS(=O)(=O)C2=CC=C(C=C2)NC(=O)C3=CC(=C(C=C3)Cl)[N+](=O)[O-],1
CN(C1=CC=CC=C1)C2=CC=C(C=C2)/C=C/[N+](=O)[O-],1
CC1=C(C=C2CCCCC2=N1)C(=O)/C=C/C3=CC=CC=C3F,1
CC1=C(C=C2CCCCC2=N1)C(=O)/C=C/C3=CC=C(C=C3)Br,1
CN1C=C(C(=N1)C(=O)NC2=CC(=CC(=C2)OC3=CC=CC=C3)[N+](=O)[O-])[N+](=O)[O-],1
CC1=CC(=C(C(=C1)C)C(CC(=O)C2=CC=CS2)C(C#N)C#N)C,1
CC1=CC=C(C=C1)C(=O)CC(C2=CC(=C(C=C2)OC)OC)C(C#N)C#N,1
CC1=CC(=C(C(=O)N1)C(=O)/C=C/C2=CC=CC3=CC=CC=C32)C,1
CCCC1=CN=C(C=C1)C2=CC=C(C=C2)/C=C/C(=O)O,1
CCN1C2=CC(=C(C=C2[N+](=C1/C=C/NC3=CC=CC=C3)CC)Cl)Cl.[I-],1
CC1=NN(C(=C1CN(C2=CC=CC3=CC=CC=C32)C(=O)CCl)Cl)C4=CC=CC=C4,1
CC1=CC(NC2=C1C=C(C=C2)OC(=O)CCN3C(=O)C4=CC=CC=C4C3=O)(C)C,1
CC1=CC(=NC(=C1C#N)SCC2=NN=C(O2)C3=CC=CC=C3)C,1
COC1=C(C=C(C=C1Cl)Cl)/C=C/C(=O)C2=CC=C(C=C2)NC(=O)C3=CC=CS3,1
CC1=NN(C(=C1CN(C2=CC=C(C=C2)Cl)C(=O)CCl)Cl)C3=CC=CC=C3,1
CSC1=NC(=NC(=N1)C(Cl)Cl)C2=CC=CC=C2,1
C1CC2=CC=CC=C2N(C3=CC=CC=C31)C(=O)CSC#N,1
C1=CC=C(C(=C1)CN2C=C(C3=CC=CC=C32)/C=C/[N+](=O)[O-])C#N,1
CC1=CC(=CC=C1)C(=O)NC2=CC=C(C=C2)C(=O)/C=C/C3=CN=CC=C3,1
CCOC(=O)COC1=C(C2=CC=CC=C2C=C1)/C=C/[N+](=O)[O-],1
CC1=CC=CC=C1C(C(=O)NC2CCCCC2)N(CCOC)C(=O)CCl,1
C1CCN2C(=NC3=C(C2=O)C=C(C=C3)NC(=O)C4=C(C=CC(=C4)[N+](=O)[O-])F)C1,1
C1=CC=C(C=C1)CCNC(=O)C(C2=CC=CS2)N(C3=CC=C(C=C3)Cl)C(=O)CCl,1
COC1=CC=CC(=C1)N(C(C2=CC=CS2)C(=O)NCCC3=CC=CC=C3)C(=O)CCl,1
C1CCC(CC1)NC(=O)C(C2=CN=CC=C2)N(C3=CC(=CC=C3)Cl)C(=O)CCl,1
CC1=CC=CC=C1C(C(=O)NC2CCCCC2)N(CC(OC)OC)C(=O)CCl,1
COC1=CC=C(C=C1)N(C(C2=CC=CS2)C(=O)NCCC3=CC=CC=C3)C(=O)CCl,1
COC1=CC(=C(C=C1)NC(=O)CSC2=C3CCCCC3=NC4=CC=CC=C42)OC,1
CC1=CC2=C(C=C1)N=C(S2)NC(=O)CSCC(=O)OCC(=O)C3=CC=CC=C3,1
C1COC2=C(O1)C=CC(=C2)N3N=C(C(=NC4=CC=CC=C4)N3O)[N+](=O)[O-],1
CC(=O)OCCCNC1=C(C2=NON=C2C(=C1)SC3=CC=C(C=C3)Cl)[N+](=O)[O-],1
CCC(=O)OCCNC1=C(C2=NON=C2C(=C1)SC3=NC=CN3C)[N+](=O)[O-],1
CCCC(=O)OCCNC1=C(C2=NON=C2C(=C1)SC3=NC=CN3C)[N+](=O)[O-],1
CCCC(=O)OCCNC1=C(C2=NON=C2C(=C1)SC3=NC4=CC=CC=C4N3)[N+](=O)[O-],1
CCC(=O)OCCNC1=C(C2=NON=C2C(=C1)SC3=NC4=CC=CC=C4N3)[N+](=O)[O-],1
C1=CC=C(C=C1)S(=O)(=O)/C(=C/C2=CC=C(O2)C3=CC(=CC=C3)Cl)/C(=O)NCC4=CN=CC=C4,1
